Price,price,Return,Volatility,Regime,Market Regime
Ticker,MSFT,,,,
Date,,,,,
2015-01-09,40.44062805175781,-0.008405471001573961,0.018561505204169108,0,Neutral
2015-01-12,39.935020446777344,-0.012502466686060587,0.019109548406615485,0,Neutral
2015-01-13,39.72934341430664,-0.005150292404252466,0.01752667229232349,0,Neutral
2015-01-14,39.38654708862305,-0.008628290734856492,0.017232491644162764,0,Neutral
2015-01-15,38.975215911865234,-0.010443443438499012,0.0027230178472414397,1,Bullish
2015-01-16,39.62651824951172,0.016710679399936534,0.01188997848901266,1,Bullish
2015-01-20,39.75505447387695,0.0032436921042595657,0.011137371685200405,1,Bullish
2015-01-21,39.35227584838867,-0.010131507321992195,0.011819690961759263,1,Bullish
2015-01-22,40.38920974731445,0.026350036346582506,0.016304943414325607,0,Neutral
2015-01-23,40.43206024169922,0.0010609391630300724,0.014235466525767371,0,Neutral
2015-01-26,40.28635787963867,-0.0036036343730582177,0.013823450145385545,0,Neutral
2015-01-27,36.558536529541016,-0.09253309423589651,0.04508260100449455,2,Bearish
2015-01-28,35.29877471923828,-0.034458759291001395,0.04563114914553008,2,Bearish
2015-01-29,36.00149917602539,0.019907899420772646,0.04403582463357828,2,Bearish
2015-01-30,34.62177276611328,-0.038324137646771006,0.04238788412550254,2,Bearish
2015-02-02,35.37591552734375,0.021782326581745615,0.047520120462137015,2,Bearish
2015-02-03,35.6501350402832,0.007751587735658649,0.02948756393949308,2,Bearish
2015-02-04,35.85582733154297,0.005769747885312038,0.024371468064110648,0,Neutral
2015-02-05,36.37858200073242,0.014579350362097898,0.02357128719370644,0,Neutral
2015-02-06,36.344303131103516,-0.0009422816323136907,0.008692715013323124,1,Bullish
2015-02-09,36.301448822021484,-0.0011791203954976126,0.006580808094006667,1,Bullish
2015-02-10,36.507118225097656,0.005665597648306653,0.0064429567273772016,1,Bullish
2015-02-11,36.31859588623047,-0.005163988505057726,0.007746151053146215,1,Bullish
2015-02-12,36.92704772949219,0.016753176393925484,0.00860100362708079,1,Bullish
2015-02-13,37.59547424316406,0.018101271419486586,0.01042674981294134,1,Bullish
2015-02-17,37.612735748291016,0.00045913784769169297,0.010133556780188341,1,Bullish
2015-02-18,37.569580078125,-0.001147368552365302,0.010820040814737928,1,Bullish
2015-02-19,37.54368591308594,-0.0006892322188647437,0.009825802079654822,1,Bullish
2015-02-20,37.854400634765625,0.008276084623097368,0.008263670124519562,1,Bullish
2015-02-23,38.10469436645508,0.006612011483272173,0.004407582499314297,1,Bullish
2015-02-24,38.05290222167969,-0.0013592064084625433,0.0047039687015831295,1,Bullish
2015-02-25,37.96659851074219,-0.002267992870418456,0.004932710431313081,1,Bullish
2015-02-26,38.02701187133789,0.0015912239432933628,0.004709036478968426,1,Bullish
2015-02-27,37.84577178955078,-0.004766087916671546,0.0043574732732447425,1,Bullish
2015-03-02,37.87165069580078,0.0006837991412596001,0.00251096453118235,1,Bullish
2015-03-03,37.35381317138672,-0.01367348702525606,0.006121100125680714,1,Bullish
2015-03-04,37.163944244384766,-0.005082986471308781,0.006087376093694174,1,Bullish
2015-03-05,37.207088470458984,0.0011609162308099386,0.005986361559629372,1,Bullish
2015-03-06,36.55978775024414,-0.0173972419456786,0.008394326012422577,1,Bullish
2015-03-09,36.98269271850586,0.011567489700727185,0.01162831184599403,1,Bullish
2015-03-10,36.27497482299805,-0.019136462044411218,0.012873935938718552,0,Neutral
2015-03-11,36.23182678222656,-0.0011894712810146535,0.013043100613214814,0,Neutral
2015-03-12,35.40325927734375,-0.022868499285530475,0.014546339627321377,0,Neutral
2015-03-13,35.71397399902344,0.008776443977815518,0.01578758220610404,0,Neutral
2015-03-16,35.86933898925781,0.004350257695730608,0.014192641607959685,1,Bullish
2015-03-17,35.99015426635742,0.003368204725930246,0.01245229524598177,1,Bullish
2015-03-18,36.68061828613281,0.019184803006549345,0.01553620786270648,1,Bullish
2015-03-19,36.49936294555664,-0.0049414472559393685,0.008814787708343055,1,Bullish
2015-03-20,37.008583068847656,0.013951479757347673,0.00947938429252856,1,Bullish
2015-03-23,36.99134063720703,-0.0004659035880554274,0.010065707159934682,1,Bullish
2015-03-24,37.025848388671875,0.0009328602551412768,0.010294488611326489,1,Bullish
2015-03-25,35.78300857543945,-0.03356681527418215,0.01754149456362332,0,Neutral
2015-03-26,35.5672607421875,-0.006029337438105631,0.01755015384496628,0,Neutral
2015-03-27,35.3601188659668,-0.0058239479762636215,0.014088405077845872,0,Neutral
2015-03-30,35.35149002075195,-0.0002440276076998149,0.014122277412298365,1,Bullish
2015-03-31,35.092559814453125,-0.0073244495818092226,0.013125848559862357,1,Bullish
2015-04-01,35.144351959228516,0.0014758725225298974,0.003928918320064089,1,Bullish
2015-04-02,34.77322006225586,-0.010560214551778135,0.005007015067745444,1,Bullish
2015-04-06,35.8607063293457,0.03127367166868278,0.01660340414342945,0,Neutral
2015-04-07,35.84343338012695,-0.0004816678472564506,0.01661507656931469,0,Neutral
2015-04-08,35.74848937988281,-0.0026488533963038297,0.016018268191809754,0,Neutral
2015-04-09,35.800270080566406,0.0014484724132912685,0.01601927176331596,0,Neutral
2015-04-10,36.00741958618164,0.005786255387153716,0.013879399645333863,1,Bullish
2015-04-13,36.04194259643555,0.0009587749039132731,0.003107239330560041,1,Bullish
2015-04-14,35.94700241088867,-0.0026341583917917077,0.0034913856965118487,1,Bullish
2015-04-15,36.473487854003906,0.014646157059142073,0.006638793620671654,1,Bullish
2015-04-16,36.38717269897461,-0.002366517712120042,0.007206235876909296,1,Bullish
